page_num,hotel_a_features,hotel_b_features,idx_a,idx_b,prediction
445,"[-0.25695140579982867 -0.984156918210485 -0.3240698112600186
 -0.4635041188773349 -0.5657050027844548 0.30888102440960397
 1.0367159781940554 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[0.2914259983319556 0.2696798912061659 0.047749635738232966
 2.157478130770716 -0.39901908817090725 0.30888102440960397
 1.5823448370737248 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74422,74463,-1
445,"[1.0225958705076712 1.5235167006228167 -0.035464447085477524
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.0635746458143855 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]","[0.6570109344198151 0.2696798912061659 0.4440601840357706
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 0.6288621365520052 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74371,74349,-1
445,"[-0.43974387384375835 -0.984156918210485 -0.4114585136233801
 -0.4635041188773349 1.6567738587295138 0.30888102440960397
 0.9019252573586949 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[1.2053883385515993 1.5235167006228167 0.04719301979961283
 -0.4635041188773349 -0.6212669743223042 0.30888102440960397
 2.237895280103264 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74464,74415,1
445,"[0.6570109344198151 0.2696798912061659 -0.5673109764370186
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 1.5629469104590419 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]","[-0.6225363418876865 -0.984156918210485 -0.7070215770306729
 -0.4635041188773349 1.4345259725781172 0.30888102440960397
 0.7338098933647766 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]",74458,74482,1
445,"[0.2914259983319556 0.2696798912061659 -0.6847569394858675
 -0.4635041188773349 1.5456499156538157 -1.3668407784736536
 0.9974227422309797 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[0.47421846637588694 0.2696798912061659 -0.36525939071790875
 -0.4635041188773349 1.6012118871916647 0.30888102440960397
 1.9444394672144718 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 -0.5589368945508569]",74466,74407,1
445,"[1.0225958705076712 1.5235167006228167 -0.585400994442173
 -0.4635041188773349 -0.4545810597087564 0.30888102440960397
 1.6584443953313268 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.2936044506673081
 0.8326077009406828]","[0.6570109344198151 0.2696798912061659 -0.5673109764370186
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 1.5629469104590419 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]",74506,74458,-1
445,"[-0.8053288099316162 -0.984156918210485 5.1649982674424635
 2.157478130770716 -0.5101430312466056 0.30888102440960397
 1.0227892616501804 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[1.936558210727315 2.7773535100394677 -0.5542305018794452
 -0.4635041188773349 2.3790794887215543 0.30888102440960397
 0.6746213480533084 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -1.2547091922966267]",74361,74385,-1
445,"[-1.902083618195188 -0.984156918210485 -0.8561946485808697
 -0.4635041188773349 -0.7323909173980025 0.30888102440960397
 0.53435941714714 0.9409439377939296 0.9409439377939296 1.6105006587027777
 1.4464376364191225 -1.6260142273043765 -1.9504814900423966]","[-1.353706214063402 -0.984156918210485 -0.11283406255367658
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 0.86064249046078 0.9409439377939296 0.9409439377939296 1.6105006587027777
 1.4464376364191225 0.7008542091551023 0.8326077009406828]",74351,74453,1
445,"[-1.1709137460194723 -0.984156918210485 -0.5294610926108492
 -0.4635041188773349 2.323517517183704 0.30888102440960397
 0.19414962728962498 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.2936044506673081
 0.8326077009406828]","[1.7537657426833868 2.7773535100394677 0.2581504605366448
 -0.4635041188773349 -0.6212669743223042 0.30888102440960397
 2.488576177893012 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 1.3656737624292392
 0.8326077009406828]",74390,74481,-1
445,"[1.0225958705076712 1.5235167006228167 2.4709771245209997
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.7778162514216829 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]","[0.8398034024637431 0.2696798912061659 -0.4479168576029991
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.7539418802036117 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74392,74398,1
