name,neighborhood,current_price,original_price,reviews_desc,num_reviews,breakfast,free_cancellation,rooms_left,grade,fully_refundable,reserve_now_pay_later,price_after_taxes,checkin_date,checkout_date,TTT,LOS,Snapshot Date,order
N/A,N/A,N/A,N/A,N/A,N/A,No,No,,N/A,No,No,N/A,06/07/2024,07/07/2024,1,1,05/07/2024,1
Hyatt House Jersey City,Jersey City,$213,$237,Excellent,"1,299",Breakfast included,No,,8.68,No,No,249 total,06/07/2024,07/07/2024,1,1,05/07/2024,2
Courtyard New York Manhattan/ Midtown East,New York,$297,$607,Excellent,"2,021",No,No,5,8.88,No,No,345 total,06/07/2024,07/07/2024,1,1,05/07/2024,3
The Maritime Hotel,New York,$239,$265,Exceptional,"1,004",Breakfast included,Yes,7,9.49,Yes,Yes,277 total,06/07/2024,07/07/2024,1,1,05/07/2024,4
"PUBLIC, an Ian Schrager hotel",New York,$549,N/A,Very,"2,614",No,No,,8.28,No,No,679 total,06/07/2024,07/07/2024,1,1,05/07/2024,5
"The Cloud One New York-Downtown, by the Motel One Group",New York,$189,N/A,Excellent,625,No,No,5,8.88,No,No,220 total,06/07/2024,07/07/2024,1,1,05/07/2024,6
Hyatt Place New York/Chelsea,Chelsea,$208,$231,Very,"1,358",Breakfast included,No,1,8.28,No,No,242 total,06/07/2024,07/07/2024,1,1,05/07/2024,7
The Maritime Hotel,New York,$239,$265,Exceptional,"1,004",Breakfast included,Yes,7,9.49,Yes,Yes,277 total,06/07/2024,07/07/2024,1,1,05/07/2024,8
Doubletree by Hilton New York Times Square South,New York,$279,N/A,Excellent,"3,772",No,Yes,,8.88,Yes,Yes,324 total,06/07/2024,07/07/2024,1,1,05/07/2024,9
Sofitel New York,Central New York City,$299,N/A,Excellent,"1,005",No,No,,8.68,No,No,382 total,06/07/2024,07/07/2024,1,1,05/07/2024,10
The Washington by LuxUrban,New York,$209,N/A,Very,"1,006",No,Yes,,8.28,Yes,No,243 total,06/07/2024,07/07/2024,1,1,05/07/2024,11
Hyatt Grand Central New York,New York,$246,$289,Very,"3,726",No,No,6,8.08,No,No,331 total,06/07/2024,07/07/2024,1,1,05/07/2024,12
Tempo by Hilton New York Times Square,Theater District,$327,N/A,Exceptional,"2,643",No,No,1,9.49,No,No,419 total,06/07/2024,07/07/2024,1,1,05/07/2024,13
The Hotel Chelsea,Chelsea,$369,$410,Exceptional,708,No,Yes,7,9.89,Yes,Yes,427 total,06/07/2024,07/07/2024,1,1,05/07/2024,14
Moxy NYC Downtown,New York,$212,$249,Excellent,"1,016",No,No,5,8.68,No,No,271 total,06/07/2024,07/07/2024,1,1,05/07/2024,15
"Club Quarters, Times Square - Midtown",Central New York City,$259,N/A,Excellent,"2,626",No,Yes,,8.68,Yes,Yes,329 total,06/07/2024,07/07/2024,1,1,05/07/2024,16
Park Terrace Hotel,Central New York City,$287,N/A,Exceptional,"1,316",No,No,,9.49,No,No,373 total,06/07/2024,07/07/2024,1,1,05/07/2024,17
Chelsea Savoy Hotel,Chelsea,$217,$255,Excellent,"1,962",Breakfast included,Yes,,8.68,Yes,Yes,252 total,06/07/2024,07/07/2024,1,1,05/07/2024,18
"Holiday Inn New York City - Times Square, an IHG Hotel",New York,$245,N/A,Very,"1,454",No,No,1,8.28,No,No,285 total,06/07/2024,07/07/2024,1,1,05/07/2024,19
Grayson Hotel in the Unbound Collection by Hyatt,Central New York City,$243,$270,Wonderful,326,No,No,,9.29,No,No,317 total,06/07/2024,07/07/2024,1,1,05/07/2024,20
Courtyard New York Manhattan/ Midtown East,New York,$297,$607,Excellent,"2,021",No,No,5,8.88,No,No,345 total,06/07/2024,07/07/2024,1,1,05/07/2024,21
"Club Quarters Hotel, Grand Central",New York,$269,N/A,Excellent,"1,996",No,Yes,,8.68,Yes,Yes,341 total,06/07/2024,07/07/2024,1,1,05/07/2024,22
Hotel Stanford,New York,$269,$285,Excellent,100,No,No,,8.88,No,No,313 total,06/07/2024,07/07/2024,1,1,05/07/2024,23
Broadway Plaza Hotel,New York,$260,$289,Wonderful,"1,524",No,No,1,9.29,No,No,313 total,06/07/2024,07/07/2024,1,1,05/07/2024,24
citizenM New York Bowery,New York,$276,$325,Wonderful,"1,145",No,No,,9.29,No,No,321 total,06/07/2024,07/07/2024,1,1,05/07/2024,25
Hyatt Place New York City/Times Square,New York,$231,$257,Very,"1,559",Breakfast included,No,7,8.08,No,No,269 total,06/07/2024,07/07/2024,1,1,05/07/2024,26
Ameritania Hotel at Times Square,Theater District,$224,N/A,Excellent,"3,132",No,No,,8.68,No,No,283 total,06/07/2024,07/07/2024,1,1,05/07/2024,27
Courtyard New York Manhattan/Times Square West,New York,$303,$379,Wonderful,"1,011",No,No,,9.09,No,No,351 total,06/07/2024,07/07/2024,1,1,05/07/2024,28
The Westin New York Grand Central,New York,$249,$508,Excellent,"2,625",No,No,,8.88,No,No,351 total,06/07/2024,07/07/2024,1,1,05/07/2024,29
The New Yorker A Wyndham Hotel,New York,$229,N/A,Very,"4,647",No,No,,8.28,No,No,300 total,06/07/2024,07/07/2024,1,1,05/07/2024,30
Grayson Hotel in the Unbound Collection by Hyatt,Central New York City,$243,$270,Wonderful,326,No,No,,9.29,No,No,317 total,06/07/2024,07/07/2024,1,1,05/07/2024,31
Westgate New York Grand Central,New York,$237,$269,Wonderful,"1,704",No,No,,9.09,No,No,315 total,06/07/2024,07/07/2024,1,1,05/07/2024,32
Soho 54,New York,$208,$219,Good,"1,044",No,No,,7.47,No,No,277 total,06/07/2024,07/07/2024,1,1,05/07/2024,33
Hilton New York Fashion District,Chelsea,$224,N/A,Very,"1,007",No,No,2,8.28,No,No,261 total,06/07/2024,07/07/2024,1,1,05/07/2024,34
Motto by Hilton New York City Chelsea,Chelsea,$199,N/A,Wonderful,"1,081",No,No,1,9.09,No,No,266 total,06/07/2024,07/07/2024,1,1,05/07/2024,35
Freehand New York,New York,$199,N/A,Very,"1,062",No,No,1,8.28,No,No,272 total,06/07/2024,07/07/2024,1,1,05/07/2024,36
Hotel St. James,Theater District,$266,$296,Excellent,"4,404",No,No,,8.68,No,No,309 total,06/07/2024,07/07/2024,1,1,05/07/2024,37
YOTEL New York Times Square,New York,$223,$279,Good,"2,301",No,No,,7.47,No,No,305 total,06/07/2024,07/07/2024,1,1,05/07/2024,38
Renaissance New York Midtown Hotel,New York,$299,N/A,Wonderful,"1,004",No,No,5,9.29,No,No,347 total,06/07/2024,07/07/2024,1,1,05/07/2024,39
Wingate by Wyndham New York Midtown South/5th Ave,New York,$254,$289,Excellent,"1,001",Breakfast included,No,1,8.68,No,No,295 total,06/07/2024,07/07/2024,1,1,05/07/2024,40
Artezen Hotel,New York,$242,$269,Exceptional,"1,348",No,No,4,9.69,No,No,297 total,06/07/2024,07/07/2024,1,1,05/07/2024,41
Hilton Garden Inn New York/West 35th Street,New York,$289,N/A,Wonderful,"2,104",No,No,1,9.09,No,No,335 total,06/07/2024,07/07/2024,1,1,05/07/2024,42
Courtyard by Marriott New York World Trade Center Area,New York,$239,N/A,Excellent,549,No,No,5,8.88,No,No,278 total,06/07/2024,07/07/2024,1,1,05/07/2024,43
