page_num,hotel_a_features,hotel_b_features,idx_a,idx_b,prediction
445,"[-0.652560901045245 0.047039421176382004 2.0357405851461685
 -0.3867848879466975 1.0731186842130929 -0.02645164731902943
 1.0731186842130929 1.3742085535472515 0.7419692958494569
 1.6177908721812173 1.4371817358704835 1.124924382845616]","[-0.95759466563048 -0.8525572605898573 -0.4456870906568277
 -0.3867848879466975 -0.9318633760750238 -1.066804284732063
 -0.9318633760750238 -0.7276915846715514 0.45894380677565505
 1.6177908721812173 1.4371817358704835 0.8707544752281761]",20178,20159,1
445,"[-0.3602368766510615 0.047039421176382004 -0.04223476136289145
 -0.3867848879466975 1.0731186842130929 -0.02645164731902943
 1.0731186842130929 1.3742085535472515 1.0367875136346671
 1.6177908721812173 1.4371817358704835 1.3896847032804491]","[-0.28397843550475277 0.047039421176382004 0.5335661357847651
 -0.3867848879466975 1.0731186842130929 -0.02645164731902943
 1.0731186842130929 1.3742085535472515 1.1095093406883525
 1.6177908721812173 1.4371817358704835 1.4549922489877078]",20166,20153,1
445,"[0.6565423386330551 0.9466361029426213 1.7370683510814826
 -0.3867848879466975 1.0731186842130929 0.6844559882465442
 1.0731186842130929 1.3742085535472515 1.9998603583996875
 1.6177908721812173 1.4371817358704835 2.254568416700904]","[0.6311228582509523 0.047039421176382004 -0.36734683254150025
 -0.3867848879466975 -0.9318633760750238 -0.02645164731902943
 -0.9318633760750238 -0.7276915846715514 2.031307634963443
 1.6177908721812173 1.4371817358704835 2.2828095175472862]",20181,20205,1
445,"[0.37692805442992305 0.9466361029426213 0.17222169522781738
 2.585416419210797 1.0731186842130929 0.6844559882465442
 1.0731186842130929 1.3742085535472515 1.4141548323997364
 1.6177908721812173 1.4371817358704835 1.7285779134370356]","[-0.28397843550475277 -0.8525572605898573 -0.4466663438832693
 -0.3867848879466975 1.0731186842130929 -0.3732358597900396
 1.0731186842130929 1.3742085535472515 0.83041476118502 1.6177908721812173
 1.4371817358704835 1.2043524789760658]",20270,20184,1
445,"[-0.05520311206582651 0.047039421176382004 2.272719865945034
 -0.3867848879466975 -0.9318633760750238 0.32033256515198383
 -0.9318633760750238 -0.7276915846715514 1.0348220588494326
 1.6177908721812173 1.4371817358704835 1.3879196344775502]","[0.4531864955762318 0.9466361029426213 -0.43687381161885336
 -0.3867848879466975 1.0731186842130929 0.6844559882465442
 1.0731186842130929 -0.7276915846715514 1.819038518158092
 1.6177908721812173 1.4371817358704835 2.0921820868342063]",20158,20163,1
445,"[0.23712091232835703 -0.8525572605898573 0.5012507793121925
 -0.3867848879466975 -0.9318633760750238 -1.066804284732063
 -0.9318633760750238 -0.7276915846715514 1.6873530475473646
 1.6177908721812173 1.4371817358704835 1.973922477039981]","[-0.4873342785615761 0.9466361029426213 -0.45254186324191886
 -0.3867848879466975 -0.9318633760750238 0.6844559882465442
 -0.9318633760750238 -0.7276915846715514 1.0073056918561463
 1.6177908721812173 1.4371817358704835 1.3632086712369658]",20230,20186,1
445,"[0.12273325060889391 0.9466361029426213 -0.44960410356259406
 -0.3867848879466975 1.0731186842130929 0.6844559882465442
 1.0731186842130929 -0.7276915846715514 1.5301166647285858
 1.6177908721812173 1.4371817358704835 1.8327169728080699]","[-0.7923680431468111 0.9466361029426213 -0.560259718150494
 -0.3867848879466975 -0.9318633760750238 0.6844559882465442
 -0.9318633760750238 -0.7276915846715514 0.7183838384266401
 1.6177908721812173 1.4371817358704835 1.1037435572108294]",20201,20236,-1
445,"[0.9488663630272387 1.8462327847088607 -0.5788655294528843
 -0.3867848879466975 1.0731186842130929 2.071592838130591
 1.0731186842130929 1.3742085535472515 1.9153458026345938
 1.6177908721812173 1.4371817358704835 2.178670458176252]","[0.23712091232835703 -0.8525572605898573 0.5012507793121925
 -0.3867848879466975 -0.9318633760750238 -1.066804284732063
 -0.9318633760750238 -0.7276915846715514 1.6873530475473646
 1.6177908721812173 1.4371817358704835 1.973922477039981]",20219,20230,1
445,"[-0.6398511608541936 -0.8525572605898573 -0.3888904035232153
 -0.3867848879466975 1.0731186842130929 -0.3732358597900396
 1.0731186842130929 1.3742085535472515 0.926722045661522
 1.6177908721812173 1.4371817358704835 1.2908408503181115]","[0.6184131180599007 0.9466361029426213 -1.0792639281645382
 -0.3867848879466975 1.0731186842130929 0.6844559882465442
 1.0731186842130929 1.3742085535472515 1.6421475874869658
 1.6177908721812173 1.4371817358704835 1.9333258945733065]",20244,20254,1
445,"[-0.37294661684211294 -1.7521539423560966 0.8714084989071147
 -0.3867848879466975 -0.9318633760750238 -2.1244961327686482
 -0.9318633760750238 -0.7276915846715514 1.1409566172521082
 1.6177908721812173 1.4371817358704835 1.4832333498340902]","[-0.1568810335942382 -0.8525572605898573 -0.4437285842039445
 -0.3867848879466975 -0.9318633760750238 -0.3732358597900396
 -0.9318633760750238 -0.7276915846715514 0.9365493195876957
 1.6177908721812173 1.4371817358704835 1.2996661943326058]",20208,20215,-1
