name,neighborhood,current_price,original_price,reviews_desc,num_reviews,breakfast,free_cancellation,rooms_left,grade,fully_refundable,reserve_now_pay_later,price_after_taxes,checkin_date,checkout_date,TTT,LOS,Snapshot Date,order
N/A,N/A,N/A,N/A,N/A,N/A,No,No,,N/A,No,No,N/A,08/07/2024,09/07/2024,1,1,07/07/2024,1
Hyatt House Jersey City,Jersey City,$227,$252,Excellent,"1,306",Breakfast included,No,8,8.68,No,No,265 total,08/07/2024,09/07/2024,1,1,07/07/2024,2
Margaritaville Resort Times Square,Theater District,$185,N/A,Wonderful,"3,670",No,No,,9.29,No,No,274 total,08/07/2024,09/07/2024,1,1,07/07/2024,3
Penny Williamsburg,Williamsburg,$220,$275,Exceptional,521,No,Yes,1,9.69,Yes,Yes,292 total,08/07/2024,09/07/2024,1,1,07/07/2024,4
"PUBLIC, an Ian Schrager hotel",New York,$329,N/A,Very,"2,625",No,No,,8.28,No,No,427 total,08/07/2024,09/07/2024,1,1,07/07/2024,5
Radio City Apartments,Theater District,$127,$142,Excellent,"3,586",No,No,2,8.88,No,No,150 total,08/07/2024,09/07/2024,1,1,07/07/2024,6
The Washington by LuxUrban,New York,$171,N/A,Very,"1,016",No,Yes,,8.28,Yes,No,199 total,08/07/2024,09/07/2024,1,1,07/07/2024,7
Hotel St. James,Theater District,$161,$179,Excellent,"4,415",No,No,,8.68,No,No,188 total,08/07/2024,09/07/2024,1,1,07/07/2024,8
Courtyard New York Manhattan/Times Square West,New York,$207,$259,Wonderful,"1,015",No,No,,9.09,No,No,241 total,08/07/2024,09/07/2024,1,1,07/07/2024,9
45 Times Square Hotel,Theater District,$198,N/A,Excellent,"1,273",No,No,,8.68,No,No,248 total,08/07/2024,09/07/2024,1,1,07/07/2024,10
"Holiday Inn New York City - Times Square, an IHG Hotel",New York,$165,N/A,Very,"1,457",No,No,3,8.28,No,No,193 total,08/07/2024,09/07/2024,1,1,07/07/2024,11
Four Points by Sheraton Midtown-Times Square,New York,$152,$179,Excellent,"1,331",No,No,5,8.88,No,No,178 total,08/07/2024,09/07/2024,1,1,07/07/2024,12
Pod Times Square,New York,$129,N/A,Excellent,"4,189",No,No,,8.88,No,No,174 total,08/07/2024,09/07/2024,1,1,07/07/2024,13
Hotel 32 32,New York,$152,$202,Very,"1,645",No,No,7,8.08,No,No,212 total,08/07/2024,09/07/2024,1,1,07/07/2024,14
Hotel Stanford,New York,$202,$214,Excellent,101,No,No,,8.88,No,No,236 total,08/07/2024,09/07/2024,1,1,07/07/2024,15
"The Cloud One New York-Downtown, by the Motel One Group",New York,$169,N/A,Excellent,629,No,No,,8.88,No,No,197 total,08/07/2024,09/07/2024,1,1,07/07/2024,16
Moxy NYC Downtown,New York,$178,$209,Excellent,"1,025",No,No,5,8.68,No,No,232 total,08/07/2024,09/07/2024,1,1,07/07/2024,17
Best Western Premier Empire State Hotel,New York,$175,N/A,Wonderful,691,No,No,1,9.09,No,No,204 total,08/07/2024,09/07/2024,1,1,07/07/2024,18
Hotel Belleclaire,Upper West Side,$159,N/A,Wonderful,"1,715",Breakfast included,Yes,,9.09,Yes,Yes,219 total,08/07/2024,09/07/2024,1,1,07/07/2024,19
citizenM New York Times Square,Theater District,$209,N/A,Wonderful,"1,084",No,Yes,8,9.29,Yes,Yes,243 total,08/07/2024,09/07/2024,1,1,07/07/2024,20
Little Charlie Hotel,New York,$172,$180,Wonderful,430,Breakfast included,Yes,,9.29,Yes,No,201 total,08/07/2024,09/07/2024,1,1,07/07/2024,21
Broadway Plaza Hotel,New York,$224,$249,Wonderful,"1,530",No,No,1,9.29,No,No,272 total,08/07/2024,09/07/2024,1,1,07/07/2024,22
Hotel 32 32,New York,$152,$202,Very,"1,645",No,No,7,8.08,No,No,212 total,08/07/2024,09/07/2024,1,1,07/07/2024,23
"Club Quarters, Times Square - Midtown",Central New York City,$215,N/A,Excellent,"2,641",No,Yes,,8.68,Yes,Yes,279 total,08/07/2024,09/07/2024,1,1,07/07/2024,24
